	text	lang
35	Kısa şortla namusunu, taktığın küpeyle erkekliğini ölçen bir millet olduğumuzdan bizden bir bok olmaz.Açık ve net..	tr
36	112 #MTVHottest Britney Spears	en
37		
38	貴様のことを考える精気もとい性器がみなぎってくるぞぉ！セイバーに抱きつくキモい英雄王ｗｗｗわれもはじめては貴様に捧げるぞ♡いやわたし処女じゃないんだけど…かわいそうだから黙っておく… http://t.co/kyAfZfje9M http://t.co/KcLcS3TFZ7	ja
39	@GalatasaraySK @Fenerbahce @ultrAslan @AliSamiYenSokak @12numaraorg http://t.co/0lJeTT62SC	und
40		
41		
42		
43		
44		
45		
46	RT @Juaninosente: @GabrielAlcas feliz cumpleaños a ti que tengas un dia ignolvidable mis mejores deseos	es
47	RT @CloydRivers: I’m afraid of a world full of people who were given a trophy just for participatin’. James Harrison is the GOAT. http://t.…	en
48	RT @norobu: 久方ぶりのナナナ氏から〜の。。。 http://t.co/Nix3bXffn1	ja
49	bahasa Suomi adalah bahasa yang sulit, ia adalah bahasa tersulit kedua setelah bahasa Magyar (Hungaria).	in
50	"RT @EverywherewithH: QUANDO REALIZZI CHE ZAYN E I RAGAZZI SONO NELLA STESSA CATEGORIA:

 #TeenChoiceAwards http://t.co/xbJ57hNkzB"	it
51	Não vou ver o jogo 😭	pt
52	"RT @qertyui5521: ابدآآآآع
تغريدها رووووعة
تستحق المتابعة
تابعوها ولن تطفشوامن تغريدها
ع فكرةمتاابعني المتابعة مجاناً
ولن تخسروا شيئاً https…"	ar
53	I'm starving I can't wait to leave work and eat Wing Barn 😋🍗	en
54	@morgancollins42 I don't like you	en
55	Ojala y mañana me toque itsa.	es
56	@JAMIEGotDatBOMB don't disrespect jimin like this! lol jk bambam is so adorable when he is not doing the whip	en
57	Vamos a ver hasta donde aguantamos.	es
58	"La Final Es TUYA Eizaguirre
La Final Es TUYA Eizaguirre
La Final Es TUYA Eizaguirre
@FranEizaguirre"	es
59	好きな事して幸せならいいのかもしれないけど、私には理解出来ない範囲	ja
60	Tá na hora de parar de pensar em você ...	pt
61	You really gotta be careful who you trust.	en
62	"日本聖書協会ホームページの検索ページで、詩篇110篇を調べる場合、
書名選択は、「詩編」、
章選択は、「110」と入力すると、聖書の内容が見られます。
http://t.co/kKZ6tblwDR　#古楽の楽しみ"	ja
63	Lomanchenko Still on Path For Fall Bout, Possibly on HBO - Boxing News http://t.co/vmqcM4M0P5	en
64	RT @RafaCebulski: @SuellenRenata_ kkkkkkkkk mas é diferente vc nao sabe nem o que é bola acho	pt
65	Jennifer Lawrence 〄 #HappyBirthdayJenniferLawrence. 15082015 ⌧ mdd/jenniferlawrence | BΞST about j.law 💾 http://t.co/ZxL24qP3Ao	fr
66	@pau_aguilar25 obligado a verlo por ahí	es
67	RT @piercetheveil: Summer sunset portrait vibes w/ @piercethevic. Photo By: @GRAHAMFIELDER http://t.co/nOc6GNvEZT	en
68	(فسبح بحمد ربك واستغفره إنه كان توابا) [النصر:3] http://t.co/xxnqoF8IrC	ar
69	@GentedePaz1940 lo que stamos es rodeados de sinverguenzas ke con tal de que salga su nombre en los periodicos son capaces de cualkier cosa	es
70	RT @marca: #UltimaHora Mancini confirma la salida de Kovacic http://t.co/sIuWKL41Oj http://t.co/xfzpfnUwEd	es
71	#InCaseYouMissThis: Photos: Mr Ibu Acquires New Mansion In Lagos -  Nollywood legendary comic actor, Mr Ibu... http://t.co/Us33owkk9m	in
72	RT @mdmx516: Twitter ReTweet to Win CallofDuty®: Black Ops 3... | Community https://t.co/RCfYSQo1st	en
73	"RT @1DUpdates_BOL: Por fin Louis es mas grande de Harry...

#MTVHottest One Direction http://t.co/v3LPXsbtdj"	fr
74	#d23expo that's a wrap!! https://t.co/rfcU1KHkhE	en
75	"@yeol_zhisui 
あのあとフィソンさんとウェーイってなってた…別のコンサートかな？多分！ http://t.co/XfJYYh9FgW"	ja
76	RT @ArbitraryVlog: Why does it have to be so hot?! 😰🔥	en
77	RT @krisoliveirab: internet do satanás	pt
78	@caiocesarvaz mentira te amo	pt
79	déjà Hind my surprise elle va te Kinder	fr
80	Gente. O que é MONAROUIA? É de comer? https://t.co/ot8Qx7TEhT	pt
81	M.T.A. N.Y.C. Subways:  6 Train normal services resumed at 68th St.-Hunter College #traffic http://t.co/DY2wZwtr2B	en
82	RT @selenanatomyy: Izzex ♥ http://t.co/5ojkowdKUQ	hu
83	RT @DACsLR: The farmers have been busy! Rural #Dorset its best. #Dorset http://t.co/fbrH27Rq3e	en
84		
85	1994 Fleer DERRICK ALEXANDER Cleveland Browns Rookie Exchange Card http://t.co/47GbxKd7ZM #cleveland #browns #football	en
86	@naoquerodroga que moca ? ahahaha	it
87	"ربي ارحمهما كما ربياني صغيرا
http://t.co/KqSpAzX6fT"	ar
88	"E se fosse um idoso? Comovia alguém!?! Gerava a mesma ""onda de solidariedade""?!? https://t.co/XWoBGwFxjS"	pt
89	＠akiz1ki 新しいツイートを投稿しました August 17, 2015 at 06:40AM 1	ja
90	STAR WARS POSTER Group Cast RARE HOT NEW 24x36 - Full read by eBay http://t.co/ZFGPdXLkD6 http://t.co/I7QFWcaJRn	en
91	http://t.co/h2VZ9QnyEA	und
92	RT @jdssmile: ¿quien tiene Future en el celular y me la pueda enviar por wsp? No me deja descargar y me desespero ahr #MTVHottest Justin Bi…	es
93	RT @gitmiyorsun: hâlâ tüm güzel şeyleri sana biriktiriyorum.	tr
94	"Burslu öğrenci baskısı
http://t.co/zZn4md6Sy7 http://t.co/5keytoe6g3"	tr
95		
96	全身バッキバキだけど会社行く。	ja
97	349 #MTVHottest Justin Bieber	en
98	RT @skyhigh095: I'll be back don't worry 😉😁👍🏽 https://t.co/4VrY6gRJsr	en
99	@MLSAnalyst .....................................Keano	es
100	RT @CreateMusicRec: Next release on @CreateMusicRec @DJLange @StephenKirkwood #Weaponized! #Trance #tranceFamily https://t.co/aOTfRG6okc	en
101	RT @halalcorner: Ya Razak, cukupkanlah kami dengan rizki yang Halal, jauhkan kami dari yg syubhat dan Haram	in
102	«Обернувшись в красный флаг, пошел на таможеников с криком «Мы чемпионы!» - http://t.co/di7P9Doa6R	ru
103	Эквадорских полицейских обстреляли при разгоне митинга	ru
104	349 #MTVHottest Justin Bieber	en
105	RT @kurt9119: “@mamypo: “@porn123_gay: If it happens outdoors it’s not queer, it’s nature. http://t.co/JGFkgHiV5h””😛😋😜👅💦💦	en
106	"RT @3jsb824: 今日はぷりんとそらと途中からみゆとオケ行った～♡
楽しかったぁ～♥
りんまにめっちゃ可愛い女の子いた😋💜
可愛すぎだね♡
誰かさんは人のケータイで自撮りしてたし( ￣▽￣)
とりま、たのでした♥
今度ははるもね♡ http://t.co/lDHihlR…"	ja
107	RT @brianisagelan: В России уничтожают первую партию санкционных продуктов	ru
108	Rivaldo podría seguir jugando: Según ha informado la ESPN, el brasileño medita continuar su carrera futbolísti... http://t.co/RyRJBnAoil	es
109	RT @dreamluanr: feliz era quem tava na plateia nossa se fosse eu lá LuanSantanaNoFaustão #MPN #ESCREVEAI	pt
110	"RT @kero_jiji: 皆さん薄々感じてるだろうが
川内原発に影響を及ぼす火山災害が起きた場合
鹿児島県の行政側の施設や都市部が先に甚大な被害を受ける訳で、その上での原発事故となったら、県行政は手一杯
その状態での対応が川内市に求められる
対応可能？まず無理な話だよ
そん…"	ja
111	@5SOS_Daily someone help. Who's their stylist? ?? 😍 😘 💜 😏	en
112	"RT @RelatableQuote: could listen to this all day, he killed it
http://t.co/o7YOzWIv8H"	en
113	Palazo! de Pabón.	es
114	「あ～和田アキ子殺してえ」発言から3年　“普通の女”に戻った鬼束ちひろ　毒気が抜ける http://t.co/xRMzWKXT1i	ja
115	349 #MTVHottest Justin Bieber	en
116	@sirato_ おはちゅー	ja
117	I'm at Terminal de Buses Viña del Mar in Viña del Mar, Región de Valparaíso https://t.co/9suvbD7SRu	es
118	"RT @josephituquqap: Жерар Пике: ""У нас есть 90 минут на ""Ноу Камп"" &amp;ndash; я верю"""	ru
119	"RT @Konsantrasyon06: Erdoğan,""Teröriste Terörist Diyemeyen Teröristin Ortağıdır"" Demiş...
Vallahi Doğru Söylemiş..!
@34fuzuli34 @vasataga h…"	tr
120	"RT @TrumanProject: It's been the #1 ""Most Read"" piece on the @DefenseOne website all weekend. Check it out for yourself: http://t.co/kD0WoU…"	en
121	A very easy win: http://t.co/q72EAoQ9IS via @YouTube	en
122	@PaolaEtsuko @SenpaiEsMio @StivenVigil @SenpaiYS JHON estas acabado http://t.co/6NoC5kJzyC	pt
123	RT @francisca_m1021: A dormir é que eu estou bem	pt
124	RT @GeneMcVay: We will soon learn if the FBI is a law enforcement agency or just another arm of the Obama Political Machine?... http://t.co…	en
125	الفيلم كامل هنا http://t.co/X1gRSO6YOr http://t.co/LGhWjvtKoj http://t.co/ISHlZUzPIs	ar
126	"خليجية تنتاج من الكس..http://t.co/EoSrGpdsDS

ممحونه
روابط_سكس
سكس_اجنبي
LODN http://t.co/580RXymiVk"	ar
127	RT @_AB92: @amjadt25 @adashtimp  لاعدمنا يمناك يا البطل امجد طه ليت كل العرب مثلك و الصفوي نقوله ( قل موتوا بغيظكم إن الله مخرج ما كنتم تكت…	ar
128		
129	RT @Deculture_es: 'Disney Infinity 3.0' recibe a 'Kingdom Hearts' de brazos abiertos (http://t.co/jOJBiRcetN) #disney #kingdomhearts http:/…	en
130		
131	http://t.co/CebknAsb8F #2633 CoSaMo Love Your Color 775 Light Ash Brown (Compared to Loving Care)- 6 Pack http://t.co/YWS36mKvFO	en
132	RT @chaarladamss: NEED TO CLOTHES SHOP	en
133	http://t.co/C0vXimaqs2	und
134	"RT @abueleas3919: "" ما زال العلم يهتف بالعمل وإلا ارتحل "" #الإمام_الغزالي #TDArab @RTwit_1 #nlpnote RTwit #شكرا_علي… http://t.co/Ms0UfhEFIF"	ar
135		
136		
137		
138	ミズー♪	ja
139	素人ながら、曲を考えてみるのですが、なかなか上手くいきません(^_^;) 今日は、ニコニコで自分のページの投稿見るとこから自分の動画見る、をしていたのですが、おかしいなと繰り返したら毎回再生ボタン押してないのに1カウント上がる、、、気のせいだろうか、、、	ja
140	"@kc_shuffle_r18 
むむぅ"	ja
141	Who else wants a 264 word apology? I'm in a apologetic mood.	en
142	RT @jyotikamboj: @Gurmeetramrahim #GarvDiwasOfGreenS bless us all pita g 4 gud day :) http://t.co/Uxj6cGUFHN	en
143	RT @cmb_jalooo: My Dad say he Cancer Free 🙌👏😂 http://t.co/T0fQeUSOFl	en
144	RT @LeslieSolis_: Swimming sounds so good 😍	en
145	RT @popova_666: День, в котором мне больше не больно так и не наступил	ru
146	RT @camilacabello97: @taylorswift13 I LOVE YOU	en
147	RT @kptoxic: eu sou do tipo que te chama pra sair e se vc não tiver dinheiro eu pago tudo pra vc	pt
148	RT @RetweetOrFavMe: Retweet if you didn't😂😂😂😂 http://t.co/VgTcBC4bfs	en
149	"RT @takapomichan: #famさん繋がりませんかRTで気になった人お迎えいきます 

田﨑敬浩💗登坂広臣

▶︎Osaka
▶︎98line
▶︎0626.0805.0806
▶︎0911.1204

⚠️濃くなれる人、初めだけ❌ http://t.co/Smzi…"	ja
150	""" I DROPPED MY FUCKING PILLOW """	en
151	"RT @97O9OI__: 150816 SUMMER SONIC TOKYO
#방탄소년단 #슈가 #제이홉 http://t.co/Tadd5KHS6U"	en
152	A rainha Erika Ervin é pisciana	pt
153	Só a ana p ajuda	pt
154	RT @getaboveaverage: Addicted to that feeling that comes from achievement and progress. Always moving forward.	en
155	RT @Lushovah: John is such a gentleman. He's carrying her ass http://t.co/Yz1GEKfJFd	en
156	@DepressedRodent @GroovySciFi This was the night that spawned The Pink Panther 2 craze.	en
157	@_DaftProd t'façon, c'est pas le fait d'avoir une meuf le problème, c'est plus compliqué ^^'	fr
158		
159	RT @wordsporns: Everyone you meet has something to teach you.	en
160	RT @drewiebr: @irsalope ça svoit de ton prénom	fr
161	Mens New Arcteryx Covert Jacket Size Small Color Black at Tactical Gear Zone http://t.co/EDw4utgRIQ #arcteryx #hiking #camping	en
162	August 17, 2015 at 06:40AM http://t.co/clJ8CpKlkj	en
163	Unique #gift creations http://t.co/SVA6JnM69z #взаимный #promomyshop #art #toronto #vancouver #QPQ #Creative #floral #ЧитаюВзаимно 84	en
164	"RT @GiyimKadro: #GİYİMögretmenleriHALKEGİTİMDEgörevalmakistiyor
@hmzaydg @Yusuf__Tekin http://t.co/Z1YTw2JMOd"	und
165	@6__Nemtyrev обрился? Ахаха	ru
166	cara eu sou peixes, só pode ser :( https://t.co/TnSbwDjk6e	pt
167	RT @grazihart: @danillogringo Eu amo você, amo seus cuidados, e eu sou louca por você!!	pt
168	@Spruke Any chance for a follow? 😊 It means so much for me! I love you. ❤️	en
169	@Srtaferrax mijo guaraná por ela shaushaushau	pt
170	"واحلى فيلم سحاق..http://t.co/4KZQrQRvRd

خلفي
قحبه
مقاطع_سكس
RIHH http://t.co/yFU0VdufpU"	ar
171	RT @RoministaJezz: TODOS CON ROMINA k	pt
172	RT @theversion: Sources have told http://t.co/AMNX7hAfp9 #justinbieber will premiere his new single at the VMAs. #TheVersion http://t.co/ZX…	en
173	I feel sorry for children and babies whose photos get plastered on social media but have no say/choice in the matter, doesn't seem fair ✋🏼	en
174		
175	"RT @GiyimKadro: #GİYİMögretmenleriHALKEGİTİMDEgörevalmakistiyor
@hmzaydg @Yusuf__Tekin http://t.co/Z1YTw2JMOd"	und
176	@dyosa04 @DavidSumaj @lancelot_xbal ya en casita recluido en el convento no hay ni un alma #sefue la feria #zuheros	es
177	127 #MTVHottest  Katy Perry 🍃 Rihanna 🍃 Lady Gaga 🍃 Meghan Trainor 🍃 Nicki Minaj 🍃	en
178		
179		
180		
181		
182	RT @agkloub: فكرة جميلة http://t.co/VzpiwzIxzu	ar
183	"雨降ってるし
自転車パンクしたし
傘壊した
叫びたい"	ja
184	もも気になる？あとちょっとだよ踏ん張れ	ja
185	كل فطيموه ؟؟ يمه عليهاا لساان يطلعنا بره البيت	ar
186	"RT @Majdy9999: لاتمل من التوبه حتى وإن تكرر الذنب
اليس كلما إتسخ ثوبك
 غسلته !
كذلك كلما اذنبت إستغفر ربك ليغفر لك."	ar
187	"RT @diafeliz_94z: 150816 EXOluxionHongkong 프리뷰 종인 세훈. 
내찌통 ㅠㅜ http://t.co/yf6Dha8FiS"	ko
188	@keisanm おはようございます(^^)盆休み 終わって 今日から 仕事 良い日になりますように	ja
189	"RT @OneDrecti0nFans: OMG IN TEARS! :')

WATCH AND PLEASE SHARE!

#DragMeDownDay 
#MTVHottest One Direction 

http://t.co/1AaIXwbi9Y"	en
190	КНР пересмотрит систему контроля за взрывчатыми веществами	ru
191	"香月 / 48歳
T.164cm  B.86cm（C）  W.61cm  H.89cm
上品な雰囲気と大人の色気を漂わせる熟女奥様。 http://t.co/uvTkcvj7hP"	ja
192	RT @marca: #UltimaHora Mancini confirma la salida de Kovacic http://t.co/sIuWKL41Oj http://t.co/xfzpfnUwEd	es
193	"RT @YakYakii: قم فيها مطار ياجماعه
حسبي الله على الفرس المجوس الا طول هالسنوات يتعبونا يخلونا ننزل في طهران ونضرب مشوار الى قم بسياره

#ترى…"	ar
194	216	und
195	بعرف منك الي ولا رح بتكوني يوم .. بعرف هوانا مرحلي واقف ع باب اللوم ..	ar
196	RT @Karol_LuceroV: Animando @FestiGame 2015🎮 https://t.co/vQ3D1QseQL http://t.co/8Rv18aP70l	es
197	Los meses previos a la celebración de los Juegos Olímpicos de Río de Janeiro están deparando un sinfín de noticias polémicas relacion...	es
198	Ou cinza😍	pt
199	"Nelson Semedo, que classe :)
mas alguém se lembra do maxi com 31 anos que foi ganhar a reforma para os morcões?
#CarregaBenfica triiiiiiiiii"	pt
200	Mannn fr 😴💯💯 https://t.co/nFEN58pf6D	en
201	RT @LostFoundPetsNJ: The line for #cleartheshelters at Animal Welfare Association in Voorhees! 45 kitties, 13 doggies adopted today! http:/…	en
202	結婚式の体験レポート「終始笑顔の結婚式でした 」  ⇒ http://t.co/ScM4hWAHbZ 静岡・浜松・富士・沼津のすてきなウエディング ⇒ http://t.co/hjBrXjWPgx	ja
203	RT @khareeeeee: Goal 💯 http://t.co/I7YOyqV0Wo	en
204	مش عايز اتكلم عن شكلي 😐	ar
205	RT @MikeMcCWYFF: Child taken to hospital after falling from waterfall | Local News - WYFF Home http://t.co/iFd5bPIEgf via @wyffnews4	en
206	Tile Cleaning Upholstery cleaning #MattressCleaning Listed at: http://t.co/FtBNqWo9J1	en
207	RT @FtLucie: Ça me manque trop les conversations de merde qu'on peut avoir avec la tin's	fr
208	http://goo+gl/JJoa5o http://goo+gl/It61iw#ديوث #دياثه #قحاب #قحيب #عم #صدر #نهود #نهد #عمات #ممحونات #بزاز #جاد #جاده	und
209	RT @FashionSpy_: KENDALL JENNER x ALEXANDER WANG http://t.co/mDXCNzBQMR	de
210	@5SOS_Updates ME TOO SHIT IM SO NERVOUS AND I DONT KNOW WHYYYY	en
211	"RT @Ibraheem_Moslim: تفاءلْ وبالخير دوماً تكلّمْ
فبعدَ الظلامِ يجيء الصباحْ

فكمْ من حزينٍ بكى وتألمْ
تسَلّح بالفأل ثم استراحْ !

إبراهيم h…"	ar
212	RT @tbhdaphne: 11 years later. That theater will be filled with a lot of 18,19,20 year olds. http://t.co/atZo42tvr1	en
213	@MintyFari @ToertchenTVyt CP's?	und
214	Gecenin şarkısı:D https://t.co/Kx8nwmQE3f	tr
215	"Ceritanya sih mau pyschedelic pyschedelic kan tapi mengapa kembali ke putih abu abu :D
#mr.w https://t.co/mNfQEsXDNM"	in
216	@ATTACKEI se realmente conhecesse não chamaria de metida, uma coisa que ela não é	pt
217	"甲子園到着ー！
今は雨止んでる〜
3塁側自由席なら入れるらしいから並んでるなう
早実側じゃないけどまぁ仕方ない
4試合目は関東第一側だ http://t.co/rzuzZYvR7V"	ja
218	@krystynawitkow2 @Cenckiewicz własciwie obie córki podobne, brunetka do AK z młodosci a blondynka do obecnej wersji http://t.co/kQHrJL7p86	pl
219		
220		
221		
222	RT @allykinssss_: @prissxoxo__ 😘😘💘	und
223	RT @3boodaldraimli: يا وطني الرائع يا وطني🍃💕 http://t.co/0kxdd28WeK	ar
224	@0507_sky そうか、いいことやｗｗｗｗ	ja
225	"RT @28seconds_: 150816 홍콩콘 #KAI #카이
촤라라라라라라라락 엘라스틴했어요 http://t.co/J0rZUeblHa"	ko
226	"RT @9GAG: Spongebob: | ( • )( • ) | 
Patrick: / ( • )( • ) \ 
Squidward: ( (•)(•) ) 
Plankton: | (•) | 
Mr. Krabs: |•||•| 
RT if you can se…"	en
227	a1 6523GA hazelaarstraat nijmegen 39436: Ambulance met spoed naar Hazelaarstraat in Nijmegen	nl
228	RT @Keagy2Lutz: 女ってクソだわ´・ω・｀ http://t.co/vVNcau7KSk #まとめ http://t.co/PncrZAvDKc	ja
229		
230	Pero que castigo. ��	es
231	Party on a Sunday	en
232	ん、新聞見てたら夜中のところに「24時間まであと4日」っていう番組あるんやけど、撮っておけばいいかしら？( ºωº )	ja
233	@stilesostenta 💜💜	und
234	3DARCSHOP - The Best of 3D Models for Architecture, 3D Models http://t.co/aQ6TbtsAIF	en
235	GoPro &amp; Destruction!! #myfavoritevlog please pick me i have wanted a hoverboard for a very long time plzzzz http://t.co/JCt837sGbe	en
236	RT @_MAlHamelii: @smoalamer5 وانتہ بخير 💗✨	ur
237		
238	the sadness you feel when you finish a series on Netflix😢	en
239	"RT @asasas19911: يا جنود الله سيروا..
واصبروا صبراً جميلاً..
إنّ نصر الله آت..
وعده أصدق قيلا..
#لواء_التوحيد
#بيت_المقدس 
@madd_gaza1 http…"	ar
240	早稲田だけでもいいから晴れてないかなー	ja
241	164- #MTVSummerStar #MTVHottest Lady Gaga 🌲 Rihanna 🌲 Jessie J 🌲 Ariana Grande 🌲 Katy Perry	en
242	At A Point I Thought I Was Doing Everything Right....	en
243	RT @TheComedyJokes: when you're bonding with your pet and they hate you http://t.co/d5TkbPPYVF	en
244	RT @RealZaragoza: ¡Gracias @RealSociedad por haber participado en el #XLVLapetra y mucha suerte en el debut en @LaLiga en Riazor! http://t.…	es
245	RT @JimAndPamAlways: http://t.co/aAWEPTjleM	und
246	@XIX_Savannah tu prends quoi comme medoc	fr
247	RT @germancai: Los bosteros con la Master y la Leoz, las gallinas con las Aldaos, los mufas con los amateur. El único que no llora títulos …	es
248	RT @domenec_ortiz: 3Tenemos lo q Stuart Mill denominaba el Gobierno d la opinión.Lo q hoy en día une a los europeos es el euroescepticismo …	es
249	164- #MTVSummerStar #MTVHottest Lady Gaga 🌲 Rihanna 🌲 Jessie J 🌲 Ariana Grande 🌲 Katy Perry	en
250	RT @UnPandaMoqueur: je vous aime énormément.	fr
251	RT @perry0515: Been a hard 17 years living off wifi &amp; phone-less. Only 1000 RTs to save a life! http://t.co/cNk9qLuzpa	en
252	"اللهم إني أسألك علماً نافعاً ورزقاً طيباً وعملاً متقبل
♻️ http://t.co/cw5mZYFNKh"	ar
253	RT @giorginamuser: I love you Matt♥ #MTVHottest Muse http://t.co/9p7SgaPUZ5	en
254	RT @KimbuEs: Ben http://t.co/Vt0yoKonJa	und
255	RT @deveoh: Here's 11 Animals That Most People Are Terrified Of But Are Actually Pretty Harmless http://t.co/YygJOH1iTJ http://t.co/S858wSw…	en
256	RT @smh: Grace Brothers descendant rescues drowning man at Bondi Beach. http://t.co/B7OmhAQB9g	en
257	Muertisimo el centro. Más aburrido que vivir en Berisso	es
258	@incigunduz ahajahahajahaha aynennnnnnnnnn	tl
259	RT @anitathetweeter: Labour Party now turning into the plot of a Terminator film  https://t.co/DcwdFXQ6Ru	en
260	@Conplay_ 3v3 $100	und
261	RT @liderendeportes: #Hipismo | Emisael Jaramillo repite ahora en la 4a de @GulfstreamPark con Venom Girl de la cuadra de @VictorEBarboza (…	es
262		
263	Cuando empiezas a ligar por primera vez😂 http://t.co/rDr6PK3aYM	es
264	@PaigePhancakes ITS NOT WORKING ON SAFARI I HAVE TO DOWNLOAD CHROME	en
265	Im deaf https://t.co/0k865rxf9D	en
266	بأعتب عليكى	ar
267	My last first day of college tomorrow 🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉	en
268	RT @RodoFerraris: Secuencia de despegue en un A320 de Lan. #IslaDeSanAndrés #Colombia ✈️ 😄 http://t.co/N5uGASD0Ro	es
269	164- #MTVSummerStar #MTVHottest Lady Gaga 🌲 Rihanna 🌲 Jessie J 🌲 Ariana Grande 🌲 Katy Perry	en
270	RT @Oledobrasil: Tite exalta trio: “não só marca pênaltis, como anula gols com maestreabilidade”	pt
271		
272	RT @DilmaRousselff: Imagens das manifestações pelo Brasil http://t.co/mH0LKtLLzq	pt
273	RT @Nia9Riah3: @destinygotcake 😘❤	und
274		
275	DEALS &amp; OFFERS &gt;&gt; http://t.co/zmm4hJZQ7r #8021 Beard Mustache Whisker Comb PQ1042 Hair Care Folding Compact #3400… http://t.co/NI3idKuWPF	en
276		
277	RT @Cawnas: Yo pensé que iba a llorar por ti, que va ni una lágrima	es
278	dinosauuuuur	sk
279	Only Thickiesz have red N dey hair ! Ahaha FS	en
280	RT @MehmetEmnYldz: Susmak istemiyorum ama konuşamıyorum da..	tr
281	RT @3z_al9dee8: { ولقد نعلم أنك يضيق صدرك بما يقولون ♦ فسبح بحمد ربك وكن من الساجدين }	ar
282	@TReporta Hasta Cuando Esta Violencia..	es
283	E eu mandei uma foto duma mina de biquíni pra um amigo (q eu esqueci q tava namorando) e a namorada viu huehueheue pqp amigão q sou hein	pt
284	"RT @meanpIastic: ""Pulling out a 4.7-inch plastic straw from this endangered sea turtle's nose""

THIS IS WHY YOU SHOULDN'T LITTER
https://t.…"	en
285	"@sayapooh0618 
うわぁぁぁ(*ˊᗜˋ*)♪♪
さやぷーさんからそんなお言葉♡♡
嬉しいです(*๓´╰╯`๓)♡"	ja
286	@erorendesuyo 朝からゴミ虫にお気づかい有難うございます、おはようございます。	ja
287	@jacke_calixto muito minha &lt;3	pt
288	اللهم إجعل دعائي في الخير مستجاب http://t.co/riL1iADAwz	ar
289	"@MeKAN_BOUYA 
みほちゃん！！✨✨✨
トレースおわったよ！！！💕
ありがとうーー😢😢😢
いつも励ましてくれてありがたや〜🙇🏾🙇🏾🙇🏾🙇🏾😱😢💘😎🙊🎉"	ja
290	Eduardo Surita era meu sonho de consumo quando eu era mais nova, meu e da Vit 😂😂😂	pt
291	Shoot😂	en
292	@MeSecondo ti piace vincere facile	it
